uid,title,genre,episodes,members,popularity,ranked,score,img_url,link
37959,Gakuen Babysitters Special,['Comedy'],1,9747,4400,1385,7.61,https://cdn.myanimelist.net/images/anime/1925/100826.jpg,https://myanimelist.net/anime/37959/Gakuen_Babysitters_Special
1395,Future GPX Cyber Formula Sin,"['Drama', 'Sci-Fi', 'Shounen', 'Sports']",5,1622,8426,1384,7.61,https://cdn.myanimelist.net/images/anime/6/29342.jpg,https://myanimelist.net/anime/1395/Future_GPX_Cyber_Formula_Sin
455,Fantastic Children,"['Adventure', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",26,24606,2881,1383,7.61,https://cdn.myanimelist.net/images/anime/9/77062.jpg,https://myanimelist.net/anime/455/Fantastic_Children
30694,Dragon Ball Super,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Fantasy', 'Shounen']",131,371648,242,1382,7.61,https://cdn.myanimelist.net/images/anime/7/74606.jpg,https://myanimelist.net/anime/30694/Dragon_Ball_Super
2961,Digimon Adventure Movie,"['Action', 'Fantasy', 'Kids', 'Sci-Fi']",1,84049,1297,1381,7.61,https://cdn.myanimelist.net/images/anime/3/72452.jpg,https://myanimelist.net/anime/2961/Digimon_Adventure_Movie
34349,Diamond no Ace: Second Season OVA,"['Comedy', 'Sports', 'School', 'Shounen']",2,5991,5358,1380,7.61,https://cdn.myanimelist.net/images/anime/12/83218.jpg,https://myanimelist.net/anime/34349/Diamond_no_Ace__Second_Season_OVA
5348,Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",1,10148,4311,1379,7.61,https://cdn.myanimelist.net/images/anime/6/10891.jpg,https://myanimelist.net/anime/5348/Detective_Conan_Magic_File_2__Kudou_Shinichi_-_The_Case_of_the_Mysterious_Wall_and_the_Black_Lab
30868,Ajin Part 1: Shoudou,"['Action', 'Horror', 'Mystery', 'Seinen', 'Supernatural']",1,33630,2406,1378,7.61,https://cdn.myanimelist.net/images/anime/6/77205.jpg,https://myanimelist.net/anime/30868/Ajin_Part_1__Shoudou
304,Aa! Megami-sama! Movie,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",1,35455,2329,1377,7.61,https://cdn.myanimelist.net/images/anime/5/71211.jpg,https://myanimelist.net/anime/304/Aa_Megami-sama_Movie
4416,Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,"['Action', 'Mecha', 'Sci-Fi', 'Super Power']",12,2591,7334,1376,7.62,https://cdn.myanimelist.net/images/anime/2/50385.jpg,https://myanimelist.net/anime/4416/Yuusha-Ou_GaoGaiGar_Final_Grand_Glorious_Gathering
